,vwap,total_volume,liquidity_removed
2,115.4536552816105,4421,3138
6,114.88722416958771,5991,4764
10,115.00965315245877,6487,4175
14,115.07553316540721,5955,5093
18,115.0668338802938,6399,3744
22,115.12887171314743,6275,4752
26,115.19275541271988,5912,3037
30,115.17719076508259,5934,3865
34,114.95552636314558,5557,3680
38,114.8986371257485,4175,2642
42,115.07268243348372,6427,3816
46,114.97151883830458,5096,3011
50,114.98401777616543,5513,3749
54,114.88164207602847,5761,3889
58,114.91932346723041,6622,5023
62,114.94292809387365,7329,5077
66,114.73873487544485,5620,3731
70,115.14153977360832,6449,4394
74,114.90333038243628,5648,4410
78,115.075641563894,7622,4940
82,114.82310163796724,4762,3525
86,115.02060562512831,4871,2918
90,114.95176419965577,5810,3464
94,115.02048961674825,5923,4031
98,115.13706124314443,6564,4713
102,114.85835531739488,7278,6068
106,114.57392880904857,6012,3761
110,114.9703061615002,5226,4013
114,114.96324732229796,6162,4417
118,114.91561812297735,4635,2249
