vwap,total_volume,liquidity_removed
112.1447993,2815,1451
111.9094763,2005,1201
112.4400415,2409,1125
112.2058821,2766,1177
112.0929279,2845,1358
112.1979552,2279,1089
112.2772016,2580,1073
112.1660121,3473,1791
111.9551446,2558,1475
112.2913916,2896,1542
112.2428927,2413,1294
112.3754585,2770,1358
112.1678497,2595,1443
112.5120687,2678,1259
112.325002,2531,1301
112.1862208,2654,1198
112.4781107,3017,1389
112.2322405,2187,936
112.0851909,2252,997
112.3374127,3007,1562
112.1733772,2736,1261
112.2933121,2980,1567
112.2211686,2781,1499
112.3435906,2203,1082
112.1833256,2144,1015
112.4497836,2403,1103
112.1448736,2294,1198
112.4464146,2248,1045
111.9353619,2680,1383
112.2634931,3192,1216
